cik,company_name,filing_type,filing_date,filing_link
919175,"Sugarmade, Inc.",10-K,2015-05-20,https://www.sec.gov/Archives/edgar/data/000152013815000247/sgmd-20140630_10k.htm
1481427,"REJUVEL BIO-SCIENCES, INC.",10-K,2015-04-15,https://www.sec.gov/Archives/edgar/data/000146970915000199/nuuu10k_123114apg.htm
1481427,"REJUVEL BIO-SCIENCES, INC.",10-Q,2014-11-19,https://www.sec.gov/Archives/edgar/data/000146970914000498/nuuu10q_093014apg.htm
919175,"Sugarmade, Inc.",10-K,2014-11-06,https://www.sec.gov/Archives/edgar/data/000152013814000298/sgmd-20130630_10k.htm
1481427,"REJUVEL BIO-SCIENCES, INC.",10-Q,2014-08-14,https://www.sec.gov/Archives/edgar/data/000146970914000336/nuuu10q_063014apg.htm
1481427,"REJUVEL BIO-SCIENCES, INC.",10-Q,2014-05-20,https://www.sec.gov/Archives/edgar/data/000146970914000201/taic10q_033114apg.htm
1481427,"REJUVEL BIO-SCIENCES, INC.",10-K,2014-04-15,https://www.sec.gov/Archives/edgar/data/000146970914000133/taic10k_123113apg.htm
1481427,"REJUVEL BIO-SCIENCES, INC.",10-Q,2013-11-19,https://www.sec.gov/Archives/edgar/data/000146970913000662/taic10q_093013apg.htm
1481427,"REJUVEL BIO-SCIENCES, INC.",10-Q,2013-08-19,https://www.sec.gov/Archives/edgar/data/000146970913000501/taic10q_063013apg.htm
1481427,"REJUVEL BIO-SCIENCES, INC.",10-Q,2013-05-20,https://www.sec.gov/Archives/edgar/data/000146970913000342/taic10q_033113apg.htm
919175,"Sugarmade, Inc.",10-Q,2013-05-15,https://www.sec.gov/Archives/edgar/data/000135448813002817/sgmd_10q.htm
1481427,"REJUVEL BIO-SCIENCES, INC.",10-K,2013-04-16,https://www.sec.gov/Archives/edgar/data/000146970913000240/taic10k_123112apg2.htm
919175,"Sugarmade, Inc.",10-Q,2013-02-14,https://www.sec.gov/Archives/edgar/data/000135448813000652/sgmd_10q.htm
1481427,"REJUVEL BIO-SCIENCES, INC.",10-Q,2012-11-19,https://www.sec.gov/Archives/edgar/data/000155475712000399/taic-10q.htm
919175,"Sugarmade, Inc.",10-Q,2012-11-14,https://www.sec.gov/Archives/edgar/data/000135448812005855/sgmd_10q.htm
919175,"Sugarmade, Inc.",10-K,2012-10-12,https://www.sec.gov/Archives/edgar/data/000091917512000017/sugarmade10k20120630final.htm
1481427,"REJUVEL BIO-SCIENCES, INC.",10-Q,2012-08-20,https://www.sec.gov/Archives/edgar/data/000155475712000106/form10q.htm
1481427,"REJUVEL BIO-SCIENCES, INC.",10-Q,2012-05-22,https://www.sec.gov/Archives/edgar/data/000153362112000201/taicform_10q.htm
919175,"Sugarmade, Inc.",10-Q,2012-05-15,https://www.sec.gov/Archives/edgar/data/000091917512000007/sugarmade10q2012331final.htm
1481427,"REJUVEL BIO-SCIENCES, INC.",10-K,2012-04-16,https://www.sec.gov/Archives/edgar/data/000153362112000077/taic.htm
919175,"Sugarmade, Inc.",10-Q,2012-02-14,https://www.sec.gov/Archives/edgar/data/000091917512000002/sugarmade10q20111231final.htm
1481427,"REJUVEL BIO-SCIENCES, INC.",10-Q,2011-11-18,https://www.sec.gov/Archives/edgar/data/000110801711000476/ta10q.htm
919175,"Sugarmade, Inc.",10-Q,2011-11-14,https://www.sec.gov/Archives/edgar/data/000091917511000032/sugarmade10q20110930final.htm
919175,"Sugarmade, Inc.",10-K,2011-09-28,https://www.sec.gov/Archives/edgar/data/000091917511000031/sugarmade10k20110630final.htm
1481427,"REJUVEL BIO-SCIENCES, INC.",10-Q,2011-08-15,https://www.sec.gov/Archives/edgar/data/000110801711000288/ta10q.htm
1481427,"REJUVEL BIO-SCIENCES, INC.",10-Q,2011-05-16,https://www.sec.gov/Archives/edgar/data/000110801711000183/app10q.htm
919175,"Sugarmade, Inc.",10-Q,2011-04-28,https://www.sec.gov/Archives/edgar/data/000091917511000005/dvop10q20110331final.htm
1481427,"REJUVEL BIO-SCIENCES, INC.",10-K,2011-03-28,https://www.sec.gov/Archives/edgar/data/000110801711000088/raj10k.htm
919175,"Sugarmade, Inc.",10-Q,2011-02-01,https://www.sec.gov/Archives/edgar/data/000091917511000002/dvop10q20101231final.htm
1481427,"REJUVEL BIO-SCIENCES, INC.",10-Q,2010-11-15,https://www.sec.gov/Archives/edgar/data/000110801710000310/raj10q.htm
919175,"Sugarmade, Inc.",10-Q,2010-10-28,https://www.sec.gov/Archives/edgar/data/000091917510000010/dvop10q20100930final.htm
919175,"Sugarmade, Inc.",10-K,2010-09-20,https://www.sec.gov/Archives/edgar/data/000091917510000009/dvop10k20100630final.htm
1481427,"REJUVEL BIO-SCIENCES, INC.",10-Q,2010-08-16,https://www.sec.gov/Archives/edgar/data/000110801710000213/raj10q.htm
1481427,"REJUVEL BIO-SCIENCES, INC.",10-Q,2010-05-17,https://www.sec.gov/Archives/edgar/data/000110801710000137/raj10q.htm
919175,"Sugarmade, Inc.",10-Q,2010-05-14,https://www.sec.gov/Archives/edgar/data/000091917510000006/dvop10q20100331final.htm
1481427,"REJUVEL BIO-SCIENCES, INC.",10-K,2010-03-31,https://www.sec.gov/Archives/edgar/data/000110801710000065/raj10k2009.htm
919175,"Sugarmade, Inc.",10-Q,2010-01-26,https://www.sec.gov/Archives/edgar/data/000091917510000002/dvop10q20091231final.htm
919175,"Sugarmade, Inc.",10-Q,2009-10-30,https://www.sec.gov/Archives/edgar/data/000091917509000008/dvop10q20090930final.htm
919175,"Sugarmade, Inc.",10-K,2009-08-04,https://www.sec.gov/Archives/edgar/data/000091917509000006/dvop10k20090630final.htm
919175,"Sugarmade, Inc.",10-Q,2009-05-01,https://www.sec.gov/Archives/edgar/data/000091917509000005/dvop10q20090331final.htm
919175,"Sugarmade, Inc.",10-Q,2009-02-05,https://www.sec.gov/Archives/edgar/data/000091917509000002/ie10q20081231final.htm
1121225,"MINRAD INTERNATIONAL, INC.",10-Q,2008-11-14,https://www.sec.gov/Archives/edgar/data/000095015208009347/l34553ae10vq.htm
919175,"Sugarmade, Inc.",10-Q,2008-11-10,https://www.sec.gov/Archives/edgar/data/000091917508000009/ie10q20080930final.htm
1121225,"MINRAD INTERNATIONAL, INC.",10-Q,2008-08-14,https://www.sec.gov/Archives/edgar/data/000095015208006556/l32884ae10vq.htm
919175,"Sugarmade, Inc.",10-Q,2008-05-15,https://www.sec.gov/Archives/edgar/data/000101968708002204/diversified_10q-033108.txt
1121225,"MINRAD INTERNATIONAL, INC.",10-Q,2008-05-14,https://www.sec.gov/Archives/edgar/data/000095015208003982/l31646ae10vq.htm
1106842,SEEBEYOND TECHNOLOGY CORP,10-Q,2005-08-08,https://www.sec.gov/Archives/edgar/data/000110465905037314/a05-12829_110q.htm
1106842,SEEBEYOND TECHNOLOGY CORP,10-Q,2005-05-06,https://www.sec.gov/Archives/edgar/data/000110465905021268/a05-8210_110q.htm
1106842,SEEBEYOND TECHNOLOGY CORP,10-K,2005-03-09,https://www.sec.gov/Archives/edgar/data/000110465905010183/a05-3785_110k.htm
1106842,SEEBEYOND TECHNOLOGY CORP,10-Q,2004-11-09,https://www.sec.gov/Archives/edgar/data/000110465904034719/a04-13132_110q.htm
840824,NETEGRITY INC,10-Q,2004-10-29,https://www.sec.gov/Archives/edgar/data/000095013504005024/b52100nie10vq.txt
1106842,SEEBEYOND TECHNOLOGY CORP,10-Q,2004-08-09,https://www.sec.gov/Archives/edgar/data/000110465904023356/a04-8346_110q.htm
840824,NETEGRITY INC,10-Q,2004-08-03,https://www.sec.gov/Archives/edgar/data/000095013504003756/b51167nie10vq.txt
1106842,SEEBEYOND TECHNOLOGY CORP,10-Q,2004-05-10,https://www.sec.gov/Archives/edgar/data/000110465904013377/a04-5696_110q.htm
840824,NETEGRITY INC,10-Q,2004-05-07,https://www.sec.gov/Archives/edgar/data/000095013504002498/b50344nie10vq.txt
1106842,SEEBEYOND TECHNOLOGY CORP,10-K,2004-03-11,https://www.sec.gov/Archives/edgar/data/000104746904007473/a2130612z10-k.htm
840824,NETEGRITY INC,10-K,2004-03-01,https://www.sec.gov/Archives/edgar/data/000095013504001035/b49028nie10vk.txt
1106842,SEEBEYOND TECHNOLOGY CORP,10-Q,2003-11-14,https://www.sec.gov/Archives/edgar/data/000110465903026655/a03-5497_110q.htm
840824,NETEGRITY INC,10-Q,2003-10-28,https://www.sec.gov/Archives/edgar/data/000095013503005346/b48091nie10vq.txt
1168940,"HOUSERAISING, INC.",10-Q,2003-09-26,https://www.sec.gov/Archives/edgar/data/000116894003000022/tgyc10q063003.txt
1121225,"MINRAD INTERNATIONAL, INC.",10-Q,2003-09-02,https://www.sec.gov/Archives/edgar/data/000112122503000009/tac10qsb63003edgar.txt
1106842,SEEBEYOND TECHNOLOGY CORP,10-Q,2003-08-14,https://www.sec.gov/Archives/edgar/data/000110465903018292/a03-2251_110q.htm
840824,NETEGRITY INC,10-Q,2003-07-28,https://www.sec.gov/Archives/edgar/data/000095013503004024/b47175nie10vq.txt
1168940,"HOUSERAISING, INC.",10-Q,2003-05-20,https://www.sec.gov/Archives/edgar/data/000116894003000010/tgyc10q033102.htm
1168940,"HOUSERAISING, INC.",10-K,2003-05-16,https://www.sec.gov/Archives/edgar/data/000116894003000009/tgyc10k02.htm
1106842,SEEBEYOND TECHNOLOGY CORP,10-Q,2003-05-15,https://www.sec.gov/Archives/edgar/data/000110465903010005/j0891_10q.htm
840824,NETEGRITY INC,10-Q,2003-04-28,https://www.sec.gov/Archives/edgar/data/000095013503002631/b46135nie10vq.txt
1106842,SEEBEYOND TECHNOLOGY CORP,10-K,2003-03-28,https://www.sec.gov/Archives/edgar/data/000104746903010871/a2106431z10-k.htm
840824,NETEGRITY INC,10-K,2003-02-13,https://www.sec.gov/Archives/edgar/data/000095013503001107/b45455nte10vk.txt
1106842,SEEBEYOND TECHNOLOGY CORP,10-Q,2002-11-14,https://www.sec.gov/Archives/edgar/data/000104746902003082/a2093225z10-q.htm
840824,NETEGRITY INC,10-Q,2002-10-24,https://www.sec.gov/Archives/edgar/data/000095013502004597/b44468nie10vq.txt
1106842,SEEBEYOND TECHNOLOGY CORP,10-Q,2002-08-14,https://www.sec.gov/Archives/edgar/data/000091205702032108/a2086465z10-q.htm
840824,NETEGRITY INC,10-Q,2002-08-14,https://www.sec.gov/Archives/edgar/data/000095013502003749/b43688nie10vq.txt
1002044,INFINIUM SOFTWARE INC,10-Q,2002-08-12,https://www.sec.gov/Archives/edgar/data/000095013502003661/b43675ise10vq.txt
1106842,SEEBEYOND TECHNOLOGY CORP,10-Q,2002-05-15,https://www.sec.gov/Archives/edgar/data/000091205702020634/a2080044z10-q.htm
840824,NETEGRITY INC,10-Q,2002-05-13,https://www.sec.gov/Archives/edgar/data/000095013502002615/b43039nge10-q.txt
1002044,INFINIUM SOFTWARE INC,10-Q,2002-05-09,https://www.sec.gov/Archives/edgar/data/000095013502002545/b43115ise10-q.txt
840824,NETEGRITY INC,10-K,2002-03-22,https://www.sec.gov/Archives/edgar/data/000095013502001523/b41361nie10-k.txt
875173,SOFTWARE SPECTRUM INC,10-Q,2002-03-18,https://www.sec.gov/Archives/edgar/data/000095013402002226/d94923e10-q.txt
1002044,INFINIUM SOFTWARE INC,10-Q,2002-02-13,https://www.sec.gov/Archives/edgar/data/000095013502000765/b41971ise10-q.txt
1106842,SEEBEYOND TECHNOLOGY CORP,10-K,2002-02-08,https://www.sec.gov/Archives/edgar/data/000091205702004574/a2069529z10-k.htm
1002044,INFINIUM SOFTWARE INC,10-K,2001-12-21,https://www.sec.gov/Archives/edgar/data/000095013501503962/b41247ise10-k.txt
875173,SOFTWARE SPECTRUM INC,10-Q,2001-12-17,https://www.sec.gov/Archives/edgar/data/000095013401509545/d92879e10-q.txt
840824,NETEGRITY INC,10-Q,2001-11-14,https://www.sec.gov/Archives/edgar/data/000095013501503564/b40885nie10-q.txt
1060531,BEYOND COM CORP,10-Q,2001-11-14,https://www.sec.gov/Archives/edgar/data/000089161801502182/f76969e10-q.htm
1106842,SEEBEYOND TECHNOLOGY CORP,10-Q,2001-11-14,https://www.sec.gov/Archives/edgar/data/000091205701539647/a2063549z10-q.htm
875173,SOFTWARE SPECTRUM INC,10-Q,2001-09-14,https://www.sec.gov/Archives/edgar/data/000095013401506368/d90674e10-q.txt
1106842,SEEBEYOND TECHNOLOGY CORP,10-Q,2001-08-14,https://www.sec.gov/Archives/edgar/data/000091205701528616/a2056631z10-q.htm
1060531,BEYOND COM CORP,10-Q,2001-08-14,https://www.sec.gov/Archives/edgar/data/000109581101504316/f74865e10-q.htm
1002044,INFINIUM SOFTWARE INC,10-Q,2001-08-13,https://www.sec.gov/Archives/edgar/data/000095013501502404/b40070nfe10-q.txt
840824,NETEGRITY INC,10-Q,2001-08-09,https://www.sec.gov/Archives/edgar/data/000095013501502330/b40086nie10-q.txt
875173,SOFTWARE SPECTRUM INC,10-K,2001-07-30,https://www.sec.gov/Archives/edgar/data/000095013401504454/d89157e10-k.txt
1106842,SEEBEYOND TECHNOLOGY CORP,10-Q,2001-05-15,https://www.sec.gov/Archives/edgar/data/000091205701516075/a2048587z10-q.htm
1060531,BEYOND COM CORP,10-Q,2001-05-15,https://www.sec.gov/Archives/edgar/data/000089161801500746/f72717e10-q.txt
1002044,INFINIUM SOFTWARE INC,10-Q,2001-05-14,https://www.sec.gov/Archives/edgar/data/000095013501501218/b39438ise10-q.txt
840824,NETEGRITY INC,10-Q,2001-05-11,https://www.sec.gov/Archives/edgar/data/000095013501501133/b39116nee10-q.txt
1060531,BEYOND COM CORP,10-K,2001-04-19,https://www.sec.gov/Archives/edgar/data/000089161801000283/f70917e10-k.txt
