cik,company_name,filing_type,filing_date,filing_link
840824,NETEGRITY INC,10-K,1998-03-31,https://www.sec.gov/Archives/edgar/data/000104746998012876/
875173,SOFTWARE SPECTRUM INC,10-Q,1998-03-17,https://www.sec.gov/Archives/edgar/data/000104746998010240/
1002044,INFINIUM SOFTWARE INC,10-Q,1998-02-13,https://www.sec.gov/Archives/edgar/data/000095013598000992/
875173,SOFTWARE SPECTRUM INC,10-Q,1997-12-15,https://www.sec.gov/Archives/edgar/data/000095013497009328/
862928,SOFTWARE ARTISTRY INC,10-Q,1997-11-13,https://www.sec.gov/Archives/edgar/data/000104746997004370/
840824,NETEGRITY INC,10-Q,1997-11-12,https://www.sec.gov/Archives/edgar/data/000084082497000004/
875173,SOFTWARE SPECTRUM INC,10-Q,1997-09-15,https://www.sec.gov/Archives/edgar/data/000095013497006785/
1002044,INFINIUM SOFTWARE INC,10-Q,1997-08-14,https://www.sec.gov/Archives/edgar/data/000095013597003550/
862928,SOFTWARE ARTISTRY INC,10-Q,1997-08-13,https://www.sec.gov/Archives/edgar/data/000091205797027594/
840824,NETEGRITY INC,10-Q,1997-08-08,https://www.sec.gov/Archives/edgar/data/000084082497000002/
875173,SOFTWARE SPECTRUM INC,10-K,1997-07-29,https://www.sec.gov/Archives/edgar/data/000095013497005544/
1002044,INFINIUM SOFTWARE INC,10-Q,1997-05-15,https://www.sec.gov/Archives/edgar/data/000095013597002487/
840824,NETEGRITY INC,10-Q,1997-05-15,https://www.sec.gov/Archives/edgar/data/000091205797017742/
862928,SOFTWARE ARTISTRY INC,10-Q,1997-05-15,https://www.sec.gov/Archives/edgar/data/000091205797018004/
840824,NETEGRITY INC,10-K,1997-03-17,https://www.sec.gov/Archives/edgar/data/000091205797009095/
875173,SOFTWARE SPECTRUM INC,10-Q,1997-02-14,https://www.sec.gov/Archives/edgar/data/000095013497001105/
1002044,INFINIUM SOFTWARE INC,10-Q,1997-02-11,https://www.sec.gov/Archives/edgar/data/000095013597000437/
1002044,INFINIUM SOFTWARE INC,10-K,1996-12-20,https://www.sec.gov/Archives/edgar/data/000095013596005373/
875173,SOFTWARE SPECTRUM INC,10-Q,1996-11-14,https://www.sec.gov/Archives/edgar/data/000095013496006224/
862928,SOFTWARE ARTISTRY INC,10-Q,1996-11-14,https://www.sec.gov/Archives/edgar/data/000101540296000031/
840824,NETEGRITY INC,10-Q,1996-11-13,https://www.sec.gov/Archives/edgar/data/000084082496000008/
926331,VIZACOM INC,10-Q,1996-08-19,https://www.sec.gov/Archives/edgar/data/000092633196000007/
840824,NETEGRITY INC,10-Q,1996-08-14,https://www.sec.gov/Archives/edgar/data/000090389396000598/
875173,SOFTWARE SPECTRUM INC,10-Q,1996-08-14,https://www.sec.gov/Archives/edgar/data/000095013496004362/
755659,SOFTWARE PUBLISHING CORP,10-Q,1996-08-14,https://www.sec.gov/Archives/edgar/data/000075565996000005/
1002044,INFINIUM SOFTWARE INC,10-Q,1996-08-13,https://www.sec.gov/Archives/edgar/data/000095013596003576/
862928,SOFTWARE ARTISTRY INC,10-Q,1996-08-02,https://www.sec.gov/Archives/edgar/data/000086292896000004/
875173,SOFTWARE SPECTRUM INC,10-K,1996-07-01,https://www.sec.gov/Archives/edgar/data/000095013496003286/
840824,NETEGRITY INC,10-K,1996-06-28,https://www.sec.gov/Archives/edgar/data/000090389396000421/
926331,VIZACOM INC,10-Q,1996-05-17,https://www.sec.gov/Archives/edgar/data/000092633196000003/
755659,SOFTWARE PUBLISHING CORP,10-Q,1996-05-15,https://www.sec.gov/Archives/edgar/data/000075565996000004/
755659,SOFTWARE PUBLISHING CORP,10-Q,1996-02-14,https://www.sec.gov/Archives/edgar/data/000075565996000002/
840824,NETEGRITY INC,10-Q,1996-02-14,https://www.sec.gov/Archives/edgar/data/000084082496000004/
840824,NETEGRITY INC,10-Q,1995-11-15,https://www.sec.gov/Archives/edgar/data/000084082495000014/
755659,SOFTWARE PUBLISHING CORP,10-Q,1995-08-14,https://www.sec.gov/Archives/edgar/data/000095000595000177/
840824,NETEGRITY INC,10-Q,1995-08-11,https://www.sec.gov/Archives/edgar/data/000084082495000007/
755659,SOFTWARE PUBLISHING CORP,10-Q,1995-05-15,https://www.sec.gov/Archives/edgar/data/000095000595000079/
755659,SOFTWARE PUBLISHING CORP,10-Q,1995-02-14,https://www.sec.gov/Archives/edgar/data/000095000595000008/
